timestamp,close,time
2024-11-22 11:40:00,141.64,11:40:00
2024-11-22 11:45:00,141.895,11:45:00
2024-11-22 11:50:00,142.16,11:50:00
2024-11-22 11:55:00,142.18,11:55:00
2024-11-22 12:00:00,142.0625,12:00:00
2024-11-22 12:05:00,142.0201,12:05:00
2024-11-22 12:10:00,141.97,12:10:00
2024-11-22 12:15:00,141.9849,12:15:00
2024-11-22 12:20:00,142.12,12:20:00
2024-11-22 12:25:00,142.0972,12:25:00
2024-11-22 12:30:00,141.98,12:30:00
2024-11-22 12:35:00,141.8109,12:35:00
2024-11-22 12:40:00,142.077,12:40:00
2024-11-22 12:45:00,142.1092,12:45:00
2024-11-22 12:50:00,142.045,12:50:00
2024-11-22 12:55:00,142.075,12:55:00
2024-11-22 13:00:00,141.96,13:00:00
2024-11-22 13:05:00,142.0114,13:05:00
2024-11-22 13:10:00,142.095,13:10:00
2024-11-22 13:15:00,142.0892,13:15:00
2024-11-22 13:20:00,142.245,13:20:00
2024-11-22 13:25:00,141.99,13:25:00
2024-11-22 13:30:00,142.0872,13:30:00
2024-11-22 13:35:00,142.0288,13:35:00
2024-11-22 13:40:00,141.945,13:40:00
2024-11-22 13:45:00,142.08,13:45:00
2024-11-22 13:50:00,141.91,13:50:00
2024-11-22 13:55:00,141.94,13:55:00
2024-11-22 14:00:00,141.945,14:00:00
2024-11-22 14:05:00,141.7911,14:05:00
2024-11-22 14:10:00,141.43,14:10:00
2024-11-22 14:15:00,141.28,14:15:00
2024-11-22 14:20:00,141.365,14:20:00
2024-11-22 14:25:00,141.46,14:25:00
2024-11-22 14:30:00,141.7308,14:30:00
2024-11-22 14:35:00,142.1001,14:35:00
2024-11-22 14:40:00,142.0099,14:40:00
2024-11-22 14:45:00,142.03,14:45:00
2024-11-22 14:50:00,142.08,14:50:00
2024-11-22 14:55:00,142.09,14:55:00
2024-11-22 15:00:00,141.91,15:00:00
2024-11-22 15:05:00,141.78,15:05:00
2024-11-22 15:10:00,141.79,15:10:00
2024-11-22 15:15:00,141.905,15:15:00
2024-11-22 15:20:00,141.92,15:20:00
2024-11-22 15:25:00,142.0,15:25:00
2024-11-22 15:30:00,141.7999,15:30:00
2024-11-22 15:35:00,141.6253,15:35:00
2024-11-22 15:40:00,141.59,15:40:00
2024-11-22 15:45:00,141.89,15:45:00
2024-11-22 15:50:00,141.79,15:50:00
2024-11-22 15:55:00,141.88,15:55:00
2024-11-22 16:00:00,141.95,16:00:00
2024-11-22 16:05:00,141.95,16:05:00
2024-11-22 16:10:00,141.84,16:10:00
2024-11-22 16:15:00,141.84,16:15:00
2024-11-22 16:20:00,141.84,16:20:00
2024-11-22 16:25:00,141.86,16:25:00
2024-11-22 16:30:00,141.9,16:30:00
2024-11-22 16:35:00,141.99,16:35:00
2024-11-22 16:40:00,141.97,16:40:00
2024-11-22 16:45:00,141.96,16:45:00
2024-11-22 16:50:00,141.97,16:50:00
2024-11-22 16:55:00,141.99,16:55:00
2024-11-22 17:00:00,141.95,17:00:00
2024-11-22 17:05:00,141.98,17:05:00
2024-11-22 17:10:00,141.97,17:10:00
2024-11-22 17:15:00,141.96,17:15:00
2024-11-22 17:20:00,141.94,17:20:00
2024-11-22 17:25:00,141.98,17:25:00
2024-11-22 17:30:00,142.0,17:30:00
2024-11-22 17:35:00,142.01,17:35:00
2024-11-22 17:40:00,141.975,17:40:00
2024-11-22 17:45:00,142.0,17:45:00
2024-11-22 17:50:00,141.99,17:50:00
2024-11-22 17:55:00,142.0,17:55:00
2024-11-22 18:00:00,141.995,18:00:00
2024-11-22 18:05:00,141.9501,18:05:00
2024-11-22 18:10:00,141.91,18:10:00
2024-11-22 18:15:00,141.91,18:15:00
2024-11-22 18:20:00,141.98,18:20:00
2024-11-22 18:25:00,141.84,18:25:00
2024-11-22 18:30:00,141.895,18:30:00
2024-11-22 18:35:00,141.915,18:35:00
2024-11-22 18:40:00,141.9,18:40:00
2024-11-22 18:45:00,141.86,18:45:00
2024-11-22 18:50:00,141.79,18:50:00
2024-11-22 18:55:00,141.74,18:55:00
2024-11-22 19:00:00,141.75,19:00:00
2024-11-22 19:05:00,141.83,19:05:00
2024-11-22 19:10:00,141.79,19:10:00
2024-11-22 19:15:00,141.76,19:15:00
2024-11-22 19:20:00,141.7405,19:20:00
2024-11-22 19:25:00,141.74,19:25:00
2024-11-22 19:30:00,141.765,19:30:00
2024-11-22 19:35:00,141.78,19:35:00
2024-11-22 19:40:00,141.81,19:40:00
2024-11-22 19:45:00,141.81,19:45:00
2024-11-22 19:50:00,141.85,19:50:00
2024-11-22 19:55:00,141.79,19:55:00
